# Seize the Seas — BATTLES / LOOT & PRIZE POOLS. Companion to commodity-tokens.csv + water-tokens.csv.
# Auto-built from deploy records by build-battles-sheet.cjs on 2026-06-27. Re-run to refresh.
# LootPool = per-combat-location loot (canonical LootPool.sol). PrizePool = tiered achievement ladder (canonical PrizePool.sol, BPS_OF_POOL). Admin/treasury 0xE2a4A8b9d77080c57799A94BA8eDeb2Dd6e0aC10.
type,name,address,role,tier,detail,status
LootPool,Bilge Rats,0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57,per-location combat loot,-,cooldown 3600s/pawn; drops: COPPER@1%,LIVE+stocked
LootPool,Goblin Cave,0xf917d1660c72F2D48141a965c82CCBE8a2A175A6,per-location combat loot,-,cooldown 3600s/pawn; drops: COPPER@1% RICE@1% FLOUR@1% PORK@1% LSW_WOOD@100% LSW_IRON@100% LSW_STEEL@100% XBOW_IRON@100%,LIVE+stocked
note,Bilge Rats (full stock),0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57,per-location combat loot,-,COPPER+SALT+RATIONS+APPLE+HONEY+COD+ALE+JERKY+CINNAMON @1% + EMERALD+AMETHYST jackpots (record lists copper only),LIVE+stocked
funding-water,Bilge Rats funding waters,0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57,prize-water refill (one per good),-,COPPER (COPPERw 0x0749c5 coin-split) + SALT RATIONS HONEY APPLE CINNAMON COD ALE JERKY EMERALD AMETHYST (one GOLD-payout WaterV2 each on SystemWaterHolder seats); keeper=loot-refill-keeper.js; see water-tokens.csv for vault addrs,waters-deploy-pending
funding-water,Goblin Cave funding waters,0xf917d1660c72F2D48141a965c82CCBE8a2A175A6,prize-water refill (one per good),-,COPPER (COPPERw 0x0749c5 coin-split) + RICE FLOUR PORK (one GOLD-payout WaterV2 each on SystemWaterHolder seats); keeper=loot-refill-keeper.js; see water-tokens.csv for vault addrs,waters-deploy-pending
note,BUY-ROUTE FLAG (on-chain scan 2026-06-27),-,prize-water buy routes,-,ONLY AMETHYST has a GOLD-quoted Port Royal wall (loc 8003) so its keeper loop is LIVE. SALT has a COPPER-quoted PR wall (WALL_WRONG_QUOTE — needs GOLD->COPPER hop). ALL OTHER goods (RATIONS HONEY APPLE CINNAMON COD ALE JERKY EMERALD RICE FLOUR PORK) have NO buy wall — keepers harvest+grow endowment but cannot refill until a Port Royal good/GOLD wall is deployed (fish-wall pattern),needs-walls
PrizePool,cbBTC Emperor,0xF3dA6a1D7d1a57F4E4782213D831646C7E45d6B0,achievement ladder (cbBTC) — ROGUE line,Emperor,prize token 0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,rogue line
PrizePool,cbBTC HighKing,0x2983E3d4250d01ba05013F1E9995Cd457D7aBa65,achievement ladder (cbBTC) — ROGUE line,HighKing,prize token 0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,rogue line
PrizePool,cbBTC Lord,0x4cC809378135F9501e37532dFDF3df6aED2B3342,achievement ladder (cbBTC) — ROGUE line,Lord,prize token 0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,rogue line
PrizePool,cbBTC Mayor,0xB10fbbCB67d68d1f43E566089FFa0f36Bd057193,achievement ladder (cbBTC) — ROGUE line,Mayor,prize token 0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,rogue line (funded)
PrizePool,cbBTC PettyKing,0x1D6dA6b28a62A45588411eEE66C94AC951A461D2,achievement ladder (cbBTC) — ROGUE line,PettyKing,prize token 0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,rogue line
PrizePool,ETH Emperor,0x15B5F48d378D1F73fd151a6eD3B97508C818498a,achievement ladder (ETH),Emperor,prize token 0x4200000000000000000000000000000000000006,WETH line (unfilled)
PrizePool,ETH HighKing,0xf17792CACE3FD578a7b2d75e19afeA301f6c8D7f,achievement ladder (ETH),HighKing,prize token 0x4200000000000000000000000000000000000006,WETH line (unfilled)
PrizePool,ETH Lord,0x98750a778E8A65C5Deac9BA26ceDCf8bb8c9A66B,achievement ladder (ETH),Lord,prize token 0x4200000000000000000000000000000000000006,WETH line (unfilled)
PrizePool,ETH Mayor,0x0590AE358c9DdDBbe36CCf5D9F9FBe69290980f2,achievement ladder (ETH),Mayor,prize token 0x4200000000000000000000000000000000000006,WETH line (unfilled)
PrizePool,ETH PettyKing,0x2C7737eaAa70e031EDd04d3712525368d93C0a9A,achievement ladder (ETH),PettyKing,prize token 0x4200000000000000000000000000000000000006,WETH line (unfilled)
PrizePool,GOLD Emperor,0x5DFfBF9B20b7A1d7155d54C8c750BF60d4CdE5B4,achievement ladder (GOLD),Emperor,prize token 0x2065d87b3a1facc9a4fe037d7a58bc069f597004,civic line (seeded Mayor 50k)
PrizePool,GOLD HighKing,0x784D25403f0677A4EB29dD4d8e2887c6Bf9341C3,achievement ladder (GOLD),HighKing,prize token 0x2065d87b3a1facc9a4fe037d7a58bc069f597004,civic line (seeded Mayor 50k)
PrizePool,GOLD Lord,0x684698ae06Bba12bEf5e7684d8ed466AFD841F5A,achievement ladder (GOLD),Lord,prize token 0x2065d87b3a1facc9a4fe037d7a58bc069f597004,civic line (seeded Mayor 50k)
PrizePool,GOLD Mayor,0xC76A9F461Be6253BD8676e0db41A6b2E03e318F8,achievement ladder (GOLD),Mayor,prize token 0x2065d87b3a1facc9a4fe037d7a58bc069f597004,civic line (seeded Mayor 50k)
PrizePool,GOLD PettyKing,0x6C3208D0a637eB2a993AA60bF9838b39D218F2e7,achievement ladder (GOLD),PettyKing,prize token 0x2065d87b3a1facc9a4fe037d7a58bc069f597004,civic line (seeded Mayor 50k)
